date,obspcp,calibpcp,gcmpcp
1962/9/8,0.5,3.67072,2.3542
1962/9/9,0,4.42108,2.13629
1962/9/10,5.8,3.30912,1.9744
1962/9/11,3.2,3.47664,2.11887
1962/9/12,2.6,2.53524,2.61643
1962/9/13,8,2.8253,2.1964
1962/9/14,0,1.95778,3.0195
1962/9/15,2.1,3.14407,2.60533
1962/9/16,0,3.12517,2.4759
1962/9/17,11.2,3.6019,2.54336
1962/9/18,0.3,3.28219,1.95082
1962/9/19,0,2.90429,2.31629
1962/9/20,0,2.55554,2.44263
1962/9/21,0,3.22965,2.54938
1962/9/22,0,3.88653,2.63351
1962/9/23,0,2.66476,2.38961
1962/9/24,0.3,2.8995,2.34308
1962/9/25,0,3.87172,3.10448
1962/9/26,0.6,3.05411,2.54697
1962/9/27,0,3.39355,2.39093
1962/9/28,0,3.21562,2.65578
1962/9/29,0,3.35647,2.97575
1962/9/30,0,2.85815,3.19947
1962/10/1,0.2,1.21165,0.22683
1962/10/2,0,1.58382,0.21543
1962/10/3,0,1.65991,0.21375
1962/10/4,1.4,1.09591,0.49882
1962/10/5,1.3,0.69502,0.19221
1962/10/6,0,0.91226,0
1962/10/7,1.6,1.06714,0.19604
1962/10/8,0.4,1.09137,0.53409
1962/10/9,0,1.03074,0.53838
1962/10/10,0,0.96169,0.33375
1962/10/11,0,0.58952,0.19521
1962/10/12,0,1.3369,0.13941
1962/10/13,0,0.92783,0.40367
1962/10/14,0.2,1.27979,0.36623
1962/10/15,1.5,1.08716,0.08784
1962/10/16,3.5,1.30883,0.11492
1962/10/17,0.6,1.2735,0.212
1962/10/18,0,0.63909,0.41737
1962/10/19,0.2,1.50235,0.20357
1962/10/20,0,1.44014,0.4801
1962/10/21,0,0.23359,0.35933
1962/10/22,0.3,0.58382,0.33854
1962/10/23,0.1,1.02447,0.69993
1962/10/24,0,0.78276,0.15482
1962/10/25,0,0.98679,0.473
1962/10/26,0,0.79529,0.31491
1962/10/27,0,0.68448,0.40744
1962/10/28,0,0.40313,0.63498
1962/10/29,0,0.97245,0.42073
1962/10/30,0,1.01794,0.38072
1962/10/31,0,0.73539,0.29587
1962/11/1,0,0.10505,0.08391
1962/11/2,0,0.11058,0.27746
1962/11/3,0,0.19324,0.04763
1962/11/4,0,0.24335,0.08623
1962/11/5,0,0.1796,0.11194
1962/11/6,0,0.23082,0.05397
1962/11/7,0,0.21812,0.05321
1962/11/8,0,0.2658,0.11292
1962/11/9,0,0.16043,0.13699
1962/11/10,0,0.27484,0.27968
1962/11/11,0,0.16343,0.17287
1962/11/12,0,0.17929,0.23498
1962/11/13,0,0.46362,0.09307
1962/11/14,0,0.19921,0.26605
1962/11/15,0,0.11795,0.1395
1962/11/16,0,0.19205,0.21167
1962/11/17,0,0.06233,0.20164
1962/11/18,0,0.10358,0.09661
1962/11/19,0,0.19443,0.10685
1962/11/20,0,0.12851,0.05863
1962/11/21,0,0.03535,0.0879
1962/11/22,0,0.03235,0.2271
1962/11/23,0,0.29919,0.04079
1962/11/24,0,0.04065,0.03769
1962/11/25,0,0.03786,0.18237
1962/11/26,0,0.06372,0.15459
1962/11/27,0,0.09205,0.09811
1962/11/28,0,0.25166,0.14629
1962/11/29,0,0.16843,0.16847
1962/11/30,0,0.08859,0.13684
1962/12/1,0,0.041,0.0574
1962/12/2,0,0.08519,0.03385
1962/12/3,0,0.16854,0.0624
1962/12/4,0,0.09005,0.06327
